converged,pos_err,ori_err,n_iters,time_s,mu,kappa,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,method
1,0.003868180057146285,0.001511836506014391,7,0.0008182000019587576,0.3746255573442554,0.10844164034696573,0.5978113735862856,0.8789198403533991,2.622219255215029,2.5750113593270014,3.062851974040043,1.4264933699298057,1.6383337371337259,SVD
1,0.007790629744073865,0.0012164010529761144,5,0.0006770000036340207,0.5367099129802599,0.16265371308700752,0.8102900321276056,2.706114809691342,0.017334371743970678,1.9391200379121318,0.18719219995127911,3.057437955157666,0.6959697079341876,SVD
1,0.0008517963520440868,0.00026345951471931834,25,0.002498399990145117,0.8497365468600205,0.1542412503130566,2.960479177861671,1.6894508376392647,2.5560794581287984,2.2856937319270907,2.401366069831573,0.9631485092976169,0.9298072964837951,SVD
1,0.0008192565483719248,0.00015376951464704847,30,0.0032153000065591186,1.7807348410681478,0.15747381072736524,0.347103532848251,1.909531952498011,0.8791129874645573,1.8009123970968197,0.34813803569155466,1.9081457292625998,1.8551723569061715,SVD
1,0.0004885740842497351,0.00014620628614083598,10,0.0010572999890428036,1.3058884076075932,0.17888733066435483,2.3056828480166187,2.001934847775395,2.4289822767770937,1.9452380877765814,0.5408014709210849,2.2801992028862803,2.9639127545129815,SVD
1,0.0021196098895757474,0.0004993406216470756,7,0.00069039998925291,0.6873523600681485,0.17233266195373373,0.8746449684656588,2.203472709366968,1.0882670955995724,1.6295130645186502,0.8792260712243438,2.939732240446026,1.2658175306068842,SVD
1,0.004696189464473814,0.021513204129654764,274,0.05212859998573549,0.5900911443960901,0.15731538852184349,2.3540685101282555,0.6940707518810947,0.1260919804696874,1.410974933088527,2.072272318034611,2.6716959825506574,0.1595502493645724,QPSO
1,0.0005100953793811921,0.0002853270497281742,16,0.001989200012758374,1.2655785344022348,0.11267812666561933,2.1963023218028415,0.7355283661702723,3.0867117168007088,0.803821079964048,3.054569932022238,2.134519941235242,2.309256829727392,SVD
1,0.004253720374704776,0.00055894613793651,10,0.001185600005555898,0.2937578850341489,0.07162929519801899,1.0180388533245965,2.2987360521571496,2.1920158172348714,0.6073605161388209,0.6296517042856467,2.9110451489012075,1.5727046947983077,SVD
1,0.0014219662096820877,0.0005730506715791159,10,0.0016807999927550554,0.7321111716705329,0.19735429651991981,2.6988439558670834,0.9030680222956882,1.0180637379556279,1.3869475442283736,0.7803053253392404,2.706635749426228,1.098483468370727,SVD
1,0.00036238913840432914,0.00018504506728635336,29,0.003719100001035258,1.541983095736604,0.11850997475456485,1.5176935318209344,2.1793761604123,1.072269904660148,0.9237653763540914,1.898275365369797,2.0458721574559053,1.5380550544940126,SVD
1,0.00219664528822802,0.0007963216010368372,8,0.0010402000043541193,1.1482414192520607,0.20411020160514193,0.8349066872918867,2.5924194923793933,0.003917923787147615,1.8485126792067412,0.7531006173697863,1.7518341113267037,0.35656927002619815,SVD
1,0.004360893399184745,0.002862316403346954,6,0.0007296999974641949,0.3327663538560846,0.12090916728609745,0.5220059892613835,0.6467291540466418,2.9396745182285304,2.4136067012339346,2.5701984452841633,3.0089535673551664,2.4631619075756452,SVD
1,0.000630271413326953,0.00014879001970202234,27,0.0031063000205904245,1.6067792767307925,0.19662539391388853,2.4775588676325433,1.1870503485753883,1.7312720201013212,1.7106005272103522,0.5752903293158753,1.7328297169337326,1.1135181861855155,SVD
1,0.005888569039516424,0.0009301544129865827,30,0.0033647000091150403,0.7943769190578769,0.13405016331129763,1.7659113998137412,1.4659675799185228,1.3313612952143095,1.3962700259686311,1.9908330151524443,2.94896179348254,2.0070259694234496,SVD
1,0.0006072618796656401,0.0001759072184815643,30,0.0032279999868478626,0.6358811875791247,0.13029032286961226,0.7258463575250564,2.6722672511216956,0.8398796684200054,1.3061874108114928,0.7880185703017769,2.753437905196152,2.3311723415129846,SVD
1,0.0008884079499663646,0.00030679098541463355,11,0.0018546999781392515,0.38070926919914866,0.13200146422579612,0.6501685665924769,2.0913488216679723,0.878800803818895,2.2440219429060098,1.0839409343271758,3.025728328323547,0.3225008570934276,SVD
1,0.002464933946765372,0.00037684324402240696,5,0.0005456000217236578,0.9202912590729755,0.1429479992737406,0.7024919527960667,1.5520346038504425,0.07407325682192045,0.7241093182650911,0.16121464914041628,2.5023251466999814,0.5416026974099069,SVD
1,0.0003127870542061451,6.430710721055718e-05,7,0.0007884000078774989,0.5143045003795396,0.1735141805569625,0.4090449243053289,2.9636779128878272,0.2465218789821653,2.191437211119575,0.05244727050799591,2.604216421211257,1.3593734868643932,SVD
1,0.0007213927012510146,0.00035326302805902454,9,0.0011067999876104295,0.38299548611228745,0.1342810866433547,0.21363744347626712,2.8317495288039547,0.2859101355720393,2.5753902974076244,0.5785172293179079,1.939227334730552,1.005989700508553,SVD
1,0.0028208805149374694,0.0006441696380397341,9,0.001256900024600327,0.4323528422664409,0.13024264202009192,0.9776499813619299,0.41705469315331406,2.4898884007563686,1.7482748090489793,0.6372413201029712,3.003483103508474,2.6091010528559906,SVD
1,0.008727088567307717,0.004746216076468414,19,0.001941199996508658,0.840751714697539,0.24718812985535898,1.7763784368898783,1.4829036292283035,1.1016389870102912,2.0752949821232436,2.508696359140976,2.6712135046414356,0.6987498483971764,SVD
1,0.001108741977437544,0.00039748865576490704,6,0.0006818999827373773,1.965824427572416,0.12776954876415272,1.0005734497373844,1.9060325882116231,0.0011231847399466586,1.4552127831258854,0.15044865942895935,1.2378962075340816,0.8591590949195438,SVD
1,0.0005517704905420765,0.00020530509636810805,8,0.0007653000066056848,2.1328791262899087,0.1522132250337626,1.2974067899373187,1.7605636997819882,0.941022149142147,1.4688095743094143,2.5994226680061367,1.520677674526059,0.4479852299017102,SVD
1,0.0011374605439387437,0.00047626578644121296,15,0.0016714000084903091,1.8325729364316803,0.10019582480500684,2.823912929377501,1.9764015477875496,2.6391467987554815,1.5487514488111387,2.4055213308678116,0.8111586842111551,0.44891480694256014,SVD
1,0.0056539860462056215,0.001851096170486945,11,0.0012511999811977148,1.0079930066744092,0.17556244672136645,0.6912728090515752,1.6738704306789565,2.413432520489253,1.052598883214563,0.7973859911394366,2.6059682532896695,1.4953500742085755,SVD
1,0.001153047920754012,0.0002193764904268785,20,0.002142999990610406,0.8197542501790253,0.18305725729996175,1.8629278451573592,1.8429924388254157,2.6140399292606227,1.4974428299439686,0.9078658692407942,2.764284380706619,2.915759921045381,SVD
1,0.003160691176355139,0.0008658935047195045,6,0.0007706000178586692,1.3492026400878059,0.1766805222734821,1.7911592728792414,0.8837542514966792,0.029419842018964637,2.027043937592514,0.5379739871822018,2.0945964357617814,0.1547209250846526,SVD
1,0.007449267032077157,0.0018851740600122017,365,0.0660329999809619,0.6528535191719976,0.15072308690646077,2.392547912963193,0.5714052309008633,0.33855671687625666,2.3272528777248445,0.5698043035758994,2.330679301524731,0.5505693781429266,SVD2
1,0.0010362600365114514,0.00023053065360544231,16,0.0021419000113382936,1.4040138170646859,0.22859851148780883,2.2450307695378235,1.1239284269805818,3.1135507865850465,1.4394315023652575,0.22476005792016363,2.087325112071334,1.1712997077143301,SVD
1,0.007635320635573384,0.0296382152170996,457,0.09412740002153441,1.062277038529537,0.1811653686270878,1.0598909425097451,1.5886983920634412,1.0308683615646466,2.2104769039523404,2.7850786614589733,1.1258868817713887,0.9527815096561492,QPSO
1,0.0007496191844002971,0.00024783983829245924,9,0.0011682999902404845,0.413827305623312,0.1120842361143728,1.8586706247938887,0.3950103501811695,0.3520614043299566,1.5884609618308163,2.3637328363143126,3.0707405969925556,2.6430366668021303,SVD
1,0.006890147362918331,0.034496127786868766,213,0.040125600004103035,1.3545330574716743,0.213488838285307,2.52965145323391,1.7364027957377743,1.3771826869024828,2.0175278584307397,2.821429559415722,1.5580574010886705,0.6572176988980285,QPSO
1,0.0006639631256766225,3.360577222769804e-05,13,0.0014896999928168952,0.6176563150124019,0.1611014399816843,2.1909908651635845,2.319997253377439,1.9875794833340141,2.1882503658018453,1.893808618043562,2.2965736778111965,0.3764943003336443,SVD
1,0.00037695151476951075,0.00014891496806530608,10,0.0009706999990157783,0.6870391891875324,0.12488962855557086,0.9596955788230792,0.8981681247768094,1.5183691425681705,2.2896631437721746,1.8922088522682785,1.7928185714891152,0.802051545871712,SVD
1,0.0005061657967962625,0.00015758102619142168,25,0.002589600015198812,1.2844531589341432,0.18968937820669793,1.8284493300946445,1.8749707912916904,0.6255252883401106,1.6667890332508528,1.9934059490274922,2.472392475464016,0.5784367465090807,SVD
1,0.0013745381703997896,0.00047306439606816566,21,0.0023779000039212406,0.33933101098971297,0.10504757301474214,2.643046499623205,2.859077578582189,2.073282016887312,2.1451218112662307,1.0508633715706175,2.473415725249768,3.122908680102885,SVD
1,0.0007867101002606337,0.0003390792293748587,19,0.002328599977772683,0.6474023481827458,0.21634723294094751,0.9563054578223937,1.6156183993966629,2.2915098045472693,2.349685520097906,2.6808628432756936,2.3295066649210394,0.8934293511081712,SVD
