converged,pos_err,ori_err,n_iters,time_s,mu,kappa,dq_1,dq_2,dq_3,method
1,0.0026072339970932114,0.0017774252813579153,5,0.0007554000476375222,1.0720549018620367,0.15182612098898488,2.008851801484571,1.8413633598986303,0.24822876709817795,SVD
1,0.003270114646357765,0.0016873751054814125,7,0.0016644001007080078,1.8972595110201258,0.1723367861728184,3.061288335773215,1.0574881336281479,0.5391237993754112,SVD
1,0.005538416969186219,0.0028445593134742756,12,0.0016027000965550542,1.8999892533836955,0.1745963431233032,2.4749696763381666,2.6279644649545855,0.5633472200899394,SVD
1,0.0061582739495132585,0.004699152533864548,6,0.0011503000278025866,1.2817655261839704,0.149804445592188,2.104357734783334,1.8630702873183624,0.20092099020364262,SVD
1,0.006608115828517933,0.002284560558717866,12,0.0015157000161707401,1.7165002387795765,0.19469496283406101,3.01289050318959,2.5174276209323705,0.7533061752219461,SVD
1,0.009757923081940607,0.0036743268467167925,5,0.0009127000812441111,1.2496779413778338,0.1841526154112906,2.408098788744512,1.0452645725875218,0.6583902649924056,SVD
1,0.002840216279023633,0.0019169375109066016,2,0.0004298000130802393,2.0497900485657583,0.15206041558911532,0.12662481817628013,0.39659818486341125,0.2531711688749749,SVD
1,0.006359395163988014,0.00399308668956239,6,0.0014633999671787024,1.8611453152477342,0.15554853344135786,0.6177849425449295,2.2496640517224176,0.318388939528953,SVD
1,0.005149013230909538,0.00409876448730006,9,0.0011718999594449997,1.82517153214436,0.14747780244333453,2.186417760649892,2.364683254491579,0.1273416917870072,SVD
1,0.0029064395411719317,0.0012571550526852978,4,0.0006230000872164965,1.3103993605023616,0.18107624245850984,0.3289248477754092,1.6055596830148602,0.6289191766761801,SVD
1,0.00500801272012657,0.004072213692706089,7,0.0009042000165209174,1.8499903978794756,0.145913520749897,2.8217937364280132,0.672804628902166,0.012579565772151913,SVD
1,0.00989534055346525,0.007891040509372895,5,0.0011815999168902636,1.2209689472340475,0.1608352856067917,3.0573282036845963,1.6521401289547402,0.39903031897080554,SVD
1,0.006215772824990485,0.003934548311003624,4,0.0006449000211432576,1.070474893576134,0.15646995973137723,0.8498370704081735,1.6427595987393007,0.333672846762036,SVD
1,0.005089027542775583,0.0023442781957164734,6,0.0010121000232174993,1.3003065534761107,0.1838291951899247,1.462795610241315,1.500829339637248,0.6553353827301205,SVD
1,0.0032342979395822216,0.0020735254381578578,3,0.0004836000734940171,2.3308778897779012,0.15748596408866275,1.4744158857181224,0.2411689637854768,0.3498343676585076,SVD
1,0.005435956832134154,0.002652792726674699,15,0.002251800033263862,1.867302030534902,0.1802941287777932,0.889665491708608,2.6091463441495266,0.6212715506736854,SVD
1,0.0025042406323972596,0.0009815518391658232,9,0.0013450999977067113,2.194757866278496,0.18917760359434846,0.9589068287515659,2.1870831588752786,0.7046830560564987,SVD
1,0.001480832140839487,0.0005621088471493009,10,0.001249500084668398,1.9665230483610043,0.19360032929180185,0.8935623263033303,1.9599820418950529,0.7438224578406628,SVD
1,0.0012145123833240882,0.0007728641345507592,3,0.0005265000509098172,1.9214799159112852,0.14605978355461188,1.0437645095908836,0.5897184267869378,0.0406627668012689,SVD
1,0.0017899849518247914,0.00032234026259370016,5,0.0006675999611616135,1.2732364057163328,0.16347989550159558,2.827021299888581,2.1079042514070845,0.4344811755993687,SVD
1,0.0028539825289036406,0.0018249098140354374,3,0.0005376000190153718,1.711021228577908,0.15828693520447096,0.24156233227077006,0.6910684158412277,0.36212579324590877,SVD
1,0.0015259907048120172,0.0008701800742532483,4,0.0007262000581249595,2.0932651520421452,0.16277644840592662,0.5108022554681146,2.36920424488355,0.42529372082970607,SVD
1,0.004028374681134722,0.002927474844860681,3,0.0005268000531941652,1.5451720265111073,0.15384986165297887,0.4287538310435206,0.8376400834862658,0.28832144686112837,SVD
1,0.007967805885513983,0.006108136441314766,18,0.002117800060659647,2.2709303069137072,0.15020615124441267,1.1423645886783844,3.0984898842426567,0.21112080348658102,SVD
1,0.002865756439851811,0.0021088019094489987,6,0.0013515000464394689,1.0958288887546979,0.149189380278703,2.60315571806972,1.2752632267872013,0.18426292930421795,SVD
1,0.009408659372909786,0.0020232222714818954,2,0.0006452000234276056,2.426072262163143,0.17361442561490448,0.977936202368233,0.1211532407582605,0.5529189805086037,SVD
1,0.0028042321825465827,0.0018884792209698093,4,0.0006460000295192003,1.1189547579652555,0.1556674971866506,0.9843916868124287,1.2205733953585938,0.3203988502525221,SVD
1,0.0028280003646660203,0.002244485716185622,9,0.0011003999970853329,1.5644141759110253,0.14646883589394624,0.21170477491470985,2.2512892567431635,0.07643243782009668,SVD
1,0.001978111614717276,0.0013927419143630747,6,0.0007749999640509486,1.9119892709171287,0.1511787463983148,0.015730879349145077,2.3663321844468737,0.23406652536520545,SVD
1,0.005080928395680987,0.0032235171780203094,4,0.0005762000801041722,1.0920778386822758,0.15927977691645456,0.31803984997057855,1.2678642693650195,0.37687425845216094,SVD
1,0.003802516871915386,0.0026285970180777813,6,0.0011301999911665916,1.3293402393978924,0.15393112684336635,2.9604777838595293,1.3017380704800754,0.28982428474921784,SVD
1,0.00015868618988135465,6.203392063488587e-05,91,0.02068910002708435,2.2851659357127305,0.15420645191715546,1.6440716083436422,3.1298112890818817,0.2948638352452093,SVD2
1,0.002803239892187992,0.0016242614081596893,8,0.0014358999906107783,1.8774275748893672,0.16079578222278845,2.8900305396775856,0.549216557329367,0.3984807159731863,SVD
1,0.0018163948587688965,0.0014910769477453254,3,0.0005816000048071146,1.6907283684164778,0.14921787174458268,0.5997981206727543,0.7479414436153274,0.18506635673550864,SVD
1,0.008298569611895073,0.0038404121440933814,3,0.0005283999489620328,1.524532899623414,0.18402373227317384,0.24377467631033678,0.787028376379932,0.6571740640139532,SVD
1,0.003750925096987966,0.003050379620596746,5,0.0008820999646559358,1.0546002695471173,0.14602976654064112,0.13554937382083976,1.7196024723546142,0.03669466276487965,SVD
1,0.00791722424186355,0.003996067166891096,5,0.0007028999971225858,1.3323394931944066,0.16641645957010806,2.2310188983791464,0.9741986127165365,0.4712286278870046,SVD
1,0.0039410442947285075,0.0016715905589478163,6,0.0007569999434053898,2.117257139587032,0.19055294924230787,2.6992884275569384,1.0355566791476685,0.7170025481613411,SVD
1,0.0059062404334667,0.0027381637422485483,28,0.003350100014358759,1.1693279847117448,0.18306867490892245,2.866173939651717,1.2710373699050788,0.6481128081716299,SVD
1,0.004318602450871124,0.0029536228403860844,16,0.002427400089800358,1.3148457683008887,0.1546644776126411,2.8090202471036787,1.0211679233402275,0.3030782020736811,SVD
1,0.00344237175545201,0.0021381375981033477,40,0.0050691000651568174,2.348496306247598,0.15975951360791546,2.801576262910819,3.0168069956411028,0.3838243568300834,SVD
1,0.0042598058184636235,0.0024248264803338124,7,0.001265800092369318,1.9302968173198172,0.16574071591652806,3.0140017530367906,0.9609104303422491,0.4629836089713004,SVD
1,0.007290739292237676,0.007987287870304774,3,0.0007441999623551965,1.237146018771159,0.1619021730437594,1.1396060246361017,1.071902560052691,0.413638872282478,SVD
1,0.00017295760231141917,7.686222051583564e-05,4,0.0008759000338613987,1.1013824175019769,0.14816789987187118,1.3127937513583565,1.4294528330992664,0.15279506925814346,SVD
1,0.0017271517737698111,0.0006828357726315576,5,0.0006932000396773219,1.7846808170133808,0.19483409538903598,1.8259697515282394,1.3277902079877089,0.7545061898762615,SVD
1,0.002709927474019637,0.0011181110650911124,3,0.0006191000575199723,1.9383567822937753,0.19473719905102532,0.4689549675217828,0.4578784868076493,0.7536705887140891,SVD
1,0.0024867863689738002,0.00216388470142523,2,0.0004366999492049217,2.1618223771662914,0.14781503356961048,0.6252696917820915,0.39130320302101795,0.14034528069965013,SVD
1,0.0017368970060238416,0.0009341451136545155,10,0.0012172000715509057,1.600048563861855,0.1658883461119894,0.19496361407656246,2.3815315962816475,0.464794987931282,SVD
1,0.002009180549972071,0.0009233168489777689,7,0.0010984999826177955,2.1615542751661843,0.18081577431668644,2.258013114400754,0.9098494959340067,0.6263796196506797,SVD
1,0.003082190781172505,0.002397569503276364,7,0.001312199980020523,1.4297890994625353,0.14711616815945341,1.7474990232098406,2.156709863409241,0.11176164619292894,SVD
1,0.00836419601465216,0.003866974075322986,4,0.00105640001129359,1.9155041709125706,0.1652748377338492,1.9618537168100392,0.511015584822049,0.4572293284926223,SVD
1,0.0006668889969641951,0.0005286616607389083,3,0.0007303000893443823,1.8605259432308858,0.1595804707022282,0.7893674531689667,0.9468537410230842,0.38124327504193456,SVD
1,0.0019732894716527004,0.0009505570738738959,10,0.0013665000442415476,1.5290490810212878,0.1767205555880353,2.7663125216473534,0.7950303123319937,0.5854303723567389,SVD
1,0.006753443547768354,0.004024084056852991,16,0.0023453000467270613,2.047706873966413,0.1580686517718623,0.5321385711514619,2.7475612596392294,0.358812668355998,SVD
1,0.002473250069590644,0.0013547446252603964,3,0.0006351000629365444,1.997327831755111,0.16421663559498317,0.32913237053907984,0.8839550953260535,0.4439340441865163,SVD
1,0.005961118545389167,0.003648196530236023,5,0.0007074000313878059,1.077868734926116,0.1618901116841777,2.9919726884024906,1.7865514902571331,0.41347615970827434,SVD
1,0.008625690737654625,0.007238727914019312,2,0.0003874000394716859,1.8334153149563324,0.1459971207935218,0.36851627735232606,0.7111699662760014,0.03182318375312221,SVD
1,0.00443258201343907,0.0035571552885114038,7,0.0009562999475747347,1.983180119729123,0.14692168641717313,0.8979884807983876,2.640764225585626,0.10242320496052405,SVD
1,0.008947540740071326,0.0038160387476806647,3,0.0007918999763205647,2.3751324693339138,0.19473473613537415,1.357667162574481,0.8126281194582936,0.7536493417607564,SVD
1,0.00846072187693525,0.006191351882165181,3,0.00044049997813999653,1.3323539647940976,0.15267951155159706,0.09933291808533974,1.0154405915215339,0.26581830225730885,SVD
1,0.003860505995265328,0.0015121284765505715,14,0.0018475999822840095,2.4547688286919462,0.18763402838723844,2.261137347923583,3.068089355230967,0.6906852040495948,SVD
1,0.00019688825154731368,0.00013179300290828177,3,0.0009928999934345484,2.1664308686764255,0.17048175405622124,1.1205565733863043,0.2750542268924039,0.5185999960870742,SVD
1,0.006305931303795464,0.0038842841165557898,6,0.001241200021468103,1.1027581186600732,0.16191000407440886,2.4808098852927847,1.88849375656538,0.41374448720115614,SVD
1,0.0019012260750282837,0.0012325318099678385,2,0.00045520009007304907,2.0936983851424826,0.15181846739599478,0.1075433184645136,0.3448896429369954,0.24806576525760216,SVD
1,0.00810531479020938,0.006017511779934073,3,0.0005140000721439719,1.441715413640091,0.17706175973964156,1.2445623804676411,0.8639443632750905,0.588920412369383,SVD
1,0.002047833637294976,0.0015530857427287774,6,0.001041300012730062,1.153698822151582,0.14808287330791417,1.8277766209425126,1.9248923752710458,0.14988750354241054,SVD
1,0.006192271582082799,0.003917411590764465,2,0.00043699995148926973,2.1882166388880333,0.1542859070529925,0.39186124817297285,0.5139820007319771,0.2963036427750745,SVD
1,0.008565589220052202,0.005703762727278382,6,0.0008123000152409077,1.3186350774511753,0.14704158895228336,2.9334142652516197,2.063355366179172,0.10827458930276368,SVD
1,0.0037707747705494976,0.0030557904642024626,6,0.0009501999011263251,1.0191875149781833,0.14592875268596164,1.6274007422716057,1.6778179555415582,0.017717187477245933,SVD
1,0.002516031485733478,0.0018194452939813898,4,0.0006424000021070242,1.543676026524345,0.15038927396258975,1.393146427729522,1.0736995075575044,0.21561782431128584,SVD
1,0.005426556126304405,0.0038723407552061803,11,0.00141629995778203,2.0353939060817092,0.15289361298154583,2.5463689502452223,2.460292490736386,0.27006398809488363,SVD
1,0.004924418681160051,0.00178949394233526,4,0.0007562999380752444,1.2624323866586764,0.19265422093344695,0.30191145807263364,1.7692245397708772,0.7355631868827643,SVD
1,0.002213613554696566,0.0009425963787838842,4,0.0010859000030905008,2.5236575057019386,0.18810630078452617,1.6489026505884556,0.4217673087545766,0.6949878464610917,SVD
1,0.0065005161781835664,0.006496535285003603,87,0.016219000099226832,2.2113985111615126,0.14793701013456192,0.32441643942920884,2.8498030455099315,0.14476707746426198,QPSO
1,0.0027795013529171545,0.0011288572123110733,10,0.0016703999135643244,1.8350607618049162,0.18587162784124117,0.6567640270132182,1.917660748209399,0.674467434801243,SVD
1,0.002823417734787743,0.0016711850514772324,12,0.0016693000216037035,1.9119894394953247,0.15957981670156837,3.042845778522422,2.6204525235288862,0.38123381941214124,SVD
1,0.0028050971855465338,0.0015800074887058683,25,0.003132799989543855,2.19156798327669,0.16245427873096177,1.3110339925490089,2.9067722143685444,0.4210303644734084,SVD
1,0.003392113862407281,0.002373183719959988,9,0.001197399920783937,1.6508270698144447,0.15118636042013225,2.083013379496242,0.766949041064179,0.23423776184080447,SVD
1,0.0038632357568549047,0.002529915337958303,10,0.00129060004837811,2.320329532878947,0.15689517607655623,2.522931449333304,0.27379397549819373,0.3405193149843564,SVD
1,0.00225832381501529,0.0009505877405135733,7,0.0014610999496653676,1.753590331420684,0.18356540185655057,0.9914950231573698,1.8745621884723018,0.6528364253578833,SVD
1,0.00987320606012784,0.006448451611749548,4,0.000826000003144145,1.0878600419430349,0.16068585432307764,1.3187994233453377,1.460118561004406,0.3969479041572801,SVD
1,0.002054837395219671,0.0014654040592903472,5,0.0020999000407755375,1.051255433494469,0.15174726870288371,1.7444730963245374,1.5522064020974975,0.24654458820144368,SVD
1,0.006250090273172947,0.0026830454067234134,22,0.0028603998944163322,2.481007964717679,0.19206893091739224,0.14880969348994721,3.036237364665297,0.73042392142845,SVD
1,0.008509268688391542,0.006568167134270313,5,0.0012322000693529844,1.027705953875489,0.14733023470183948,2.936896586338368,1.6117356878797757,0.12122231493374525,SVD
1,0.002461128338583401,0.001679825944671235,5,0.0007218999089673162,1.0425249651287611,0.15238711848768172,1.3707492379078146,1.7712642612580414,0.25991646064528506,SVD
1,0.0021394611625562784,0.0016254391201343502,8,0.0009657000191509724,1.8525521214145544,0.1480434373555047,2.8939953737832536,0.617729357659992,0.14852012374180482,SVD
1,0.0015257250588981538,0.0012571796339460098,3,0.0004523000679910183,1.6776389471708637,0.1595878785378403,0.7421386979341911,1.0954793942297743,0.3813503644335592,SVD
1,0.0016496614851021604,0.0008407046833600945,8,0.0012616000603884459,1.3011828915697776,0.16957134828098386,1.2845391187523596,2.1440740564256737,0.5082946040266503,SVD
1,0.007724705338445334,0.004435298594329425,6,0.0011228000512346625,1.7302565365597982,0.16770463812982647,2.45489306311257,1.143137013183371,0.4866337030107446,SVD
1,0.0035202719671186718,0.0023062468275045272,17,0.0023946999572217464,2.2610371205315967,0.15670435699516733,1.7614349383867107,0.4404314288993256,0.33746215520481865,SVD
1,0.0034355265340489257,0.002589257062214923,8,0.0011651000240817666,1.0193711948546764,0.1495827946156752,0.16507823093208263,1.687712212385056,0.19507529950302158,SVD
1,0.001870150271520805,0.0009939739404811838,4,0.0007099000504240394,1.7137217106749105,0.16855964565267703,1.2720018965176292,1.1644474617516423,0.4966474707063666,SVD
1,0.005613641267493542,0.0039537173485157786,6,0.0011080000549554825,1.1506400536720631,0.1493321647353925,0.32338111130446107,1.9334995805296853,0.18825611602744366,SVD
1,0.0021895182855907053,0.000831270949831838,13,0.001596100046299398,2.3603240414617432,0.19237483589198787,2.4600314427456755,3.066016733307695,0.7331128727553118,SVD
1,0.003133740461201034,0.0018093606958136798,2,0.00043979997280985117,2.330665040158453,0.16259066807729888,0.29583582166478983,0.003997358750623903,0.42283962352462456,SVD
1,0.004122767025016516,0.001727970370384253,6,0.000800000037997961,1.7974997901243295,0.1920544813325532,2.985741806724813,1.2985460958536548,0.7302967499177839,SVD
1,0.005000296491810098,0.0038733970083912952,7,0.0009208000265061855,1.646383599712548,0.1487695242290472,3.1153807015305537,0.9604777695189828,0.17200511145390385,SVD
1,0.0024983748271620566,0.0009343093012787721,7,0.0018349000019952655,1.3876638795910354,0.19318766388463166,2.7795302725247666,0.8906798875043975,0.7402272333590836,SVD
1,0.0007744859554851979,0.00044644641543435,4,0.0011697999434545636,2.4499157015832846,0.19274750635001414,2.3521066711860072,0.047742346154578286,0.7363801710138702,SVD
1,0.0021353454031599046,0.0015889786127908686,4,0.0007024999940767884,1.2638645878435235,0.14890406230225925,0.2636944771228058,1.2774376469755426,0.1760227103330303,SVD
1,0.0062455009710701455,0.004740918746975888,7,0.0011427999706938863,1.1920500799231157,0.150066027540497,2.145414515668522,1.3668642825248023,0.20761718627558068,SVD
1,0.006950384997599874,0.003668911147173492,10,0.0013803000329062343,1.7996585812284167,0.1647192719663394,2.8160598139427213,2.534610180695115,0.45028922718752673,SVD
1,0.007243153361438163,0.004576002426918854,8,0.001078300061635673,2.3454224599695768,0.16066957313543206,0.10151722419375007,3.066661239929175,0.3967204541162155,SVD
1,0.005367099436941285,0.004228200832185027,12,0.0015238000778481364,2.1830924805924625,0.1480687956356252,2.244632062102041,2.781570483375298,0.14940078310539384,SVD
1,0.005747164115675503,0.00234377673164896,7,0.0011270999675616622,2.565406262734257,0.19697470215511567,0.4821530680171468,2.7091951158452146,0.7728208972565564,SVD
1,0.007752327117063227,0.0028495629819711107,3,0.0007853000424802303,1.7632039310699192,0.15145915121390988,1.3859926415967214,0.6726124738549619,0.2402969405980384,SVD
