metodo,robot,time_primera_pose_mediana_s,time_resto_mediana_s,umbral_resto_q3_1.5iqr_s,posible_contaminacion_jit
SVD,antro,2.981385549879633,0.00072159979026755,0.0017298750753978623,True
SVD,Standford,0.04746975004673,0.09046744997613129,0.22370528720784938,False
SVD,DLR,0.0019078999757766,0.00176950008608395,0.0062133877945597885,False
HYBRID,antro,2.2929193500312977,0.00074325001332905,0.0018197251920354252,True
HYBRID,Standford,0.0548330000019632,0.021773000014945802,0.2556284374149981,False
HYBRID,DLR,0.0019246999290771,0.002108649990987,0.006769587358576162,False
