termino,coef,std_err,p_value,ci_low,ci_high,OR,OR_ci_low,OR_ci_high
Intercept,2.0132432618911498,0.07269291914494494,7.98142695122308e-169,1.8707677584359754,2.155718765346324,7.487562134899057,6.493279756344795,8.634093836661288
metodo[T.PSO],-1.4857636094257347,0.10094030661775617,4.851515044788495e-49,-1.6836029749849668,-1.2879242438665026,0.2263294473740561,0.18570368351460365,0.27584277155502585
metodo[T.QPSO],-1.0067651767894763,0.09045229015202759,8.928945578081667e-29,-1.1840484078066174,-0.8294819457723352,0.3653990712452752,0.3060372636510174,0.43627524202138396
metodo[T.HYBRID],0.4672746175198142,0.06375867719288236,2.322219809341757e-13,0.3423099065198494,0.592239328519779,1.5956395338264007,1.4081966392177645,1.8080326646170957
modo[T.hard],-0.25910426529379715,0.0881958654814213,0.0033052055349404395,-0.43196498522272225,-0.08624354536487205,0.7717425528846417,0.6492321090048598,0.9173707826093451
tolerancia[T.e3],-0.4972808377702411,0.03380835931824701,5.6591308268412975e-49,-0.5635440044103944,-0.4310176711300878,0.6081821593037928,0.5691882793569351,0.6498474271348632
robot[T.Standford],-1.2338610163334827,0.05007644996718201,4.7635475324298765e-134,-1.3320090547427814,-1.135712977924184,0.29116620713109836,0.26394644540129536,0.3211930361335854
robot[T.antro],4.5501548918163985,0.13078298329160556,3.253847768300074e-265,4.293824954774148,4.8064848288586495,94.64706723578227,73.24609638275702,122.30095225175063
metodo[T.PSO]:modo[T.hard],-0.22728828869232595,0.13160462981929624,0.08415798448233068,-0.48522862333687267,0.030652045952220736,0.7966910721529343,0.615556450106256,1.0311266567649946
metodo[T.QPSO]:modo[T.hard],-0.3666127417126526,0.1208774353269966,0.002421921596023809,-0.6035281614971355,-0.12969732192816968,0.6930779932776743,0.5468787517794208,0.878361251379458
metodo[T.HYBRID]:modo[T.hard],0.05318997708669408,0.07458902428006729,0.4757793678187331,-0.09300182414422144,0.19938177831760961,1.0546299816205293,0.9111918381492984,1.220647893852927
metodo[T.PSO]:tolerancia[T.e3],-1.002023843262203,0.08499584373087829,4.443039377968097e-32,-1.168612635810319,-0.8354350507140871,0.367135663741467,0.3107978320775846,0.43368576508358714
metodo[T.QPSO]:tolerancia[T.e3],-1.2780044840425007,0.0776881623068795,8.326062182328616e-61,-1.4302704841890868,-1.1257384838959146,0.27859268227537476,0.23924420171731434,0.3244128052436346
metodo[T.HYBRID]:tolerancia[T.e3],0.37978930843683595,0.045898763510479,1.289960124211131e-16,0.2898293850213759,0.469749231852296,1.4619765308620967,1.3361994929284124,1.5995930159405336
