metodo,tolerancia,n,n_conv,tasa_pct,ci_low,ci_high
HYBRID,e2,3000,2697,89.9,88.77018502540001,90.927762846319
HYBRID,e3,3000,2666,88.86666666666666,87.69102214343107,89.94290201565362
PSO,e2,3000,1874,62.46666666666667,60.719071248204095,64.18237612357778
PSO,e3,3000,1296,43.2,41.43723816402534,44.9801541786391
QPSO,e2,3000,2060,68.66666666666667,66.98385421467846,70.30173543290937
QPSO,e3,3000,1339,44.63333333333333,42.86246291645154,46.41793005986696
SVD,e2,3000,2551,85.03333333333333,83.71199115594129,86.26507084337088
SVD,e3,3000,2366,78.86666666666666,77.36932601820266,80.29017511538852
