converged,pos_err,ori_err,n_iters,time_s,mu,kappa,dq_1,dq_2,dq_3
1,0.0007618518590544032,0.0021268222640484415,57,0.01037549995817244,1.0291138313801873,0.38650387880502507,0.22803484400038299,0.2470626865126353,2.8981557517278578
1,0.000986960261222762,0.0006928436077737223,60,0.009639899944886565,1.3235546818933388,0.3965791728118292,0.5017235529338548,2.028389887680149,2.4308376961915092
1,0.0007486278133083833,0.0012850268771907915,74,0.011457200162112713,1.0338959557334486,0.38479925232300016,1.4427169362558736,1.208382405078864,2.953451790385882
1,0.0009343973191381173,0.002365975598586377,79,0.01291369996033609,1.0210090749303502,0.3853651100710646,0.8267740011657616,0.10018777513523425,2.934050204224551
1,0.0009001409773594875,0.002040017602617263,114,0.016559600131586194,1.0811038020330919,0.3908512236006161,2.145599504436341,2.7723295117851956,2.776023157429706
1,0.0003091767517878011,0.00031979730986807177,73,0.011762900045141578,1.0822224511918312,0.39167015552278833,2.000311881519039,2.5324686820589655,2.7530600306392916
1,0.00020160541698561037,0.0003935344335893714,132,0.019236600026488304,1.0321194915031413,0.3864746397132916,0.9756273190095399,2.9053637288230014,2.8990383665677406
1,0.0008501256367787864,0.0005898542045348626,65,0.009922399884089828,1.4256011780909192,0.3916577613915098,2.7925818103965003,1.1339534308366064,2.2818387958933615
1,0.0005451628716943205,0.001112514181579116,45,0.007442699978128076,1.1419362338226473,0.3967011868638399,1.3707995497424177,0.23777728938050302,2.558916959895539
1,0.0005068567313893442,0.0003357475806826683,58,0.008868099888786674,1.1476040786173123,0.3917967541831775,1.1342765067391727,1.5072040784173164,2.7494566370245375
1,0.0006136925726579155,0.0005588208227762596,54,0.00820820010267198,1.1950228437326758,0.39451868787161276,1.3184532838523493,0.8723772609117502,2.6644684463333523
1,0.0007594657958494246,0.001017076847554372,97,0.014430199982598424,1.0477655980362282,0.38839860513980196,1.8233821698187427,2.636878594704984,2.8436027891804114
1,0.0006608588438431148,0.00020829699931528955,85,0.01314619998447597,1.1408489137742142,0.39211393171667686,2.5473014642105625,1.8163125951978807,2.740346879687026
1,0.0006568131283285848,0.000399275983796169,86,0.013031199807301164,1.322011551094177,0.3967794233124694,0.3877996311298295,1.9515589073155875,2.552090601789846
1,0.0009790592027840962,0.0005550056491402564,65,0.009998599998652935,1.304823668640448,0.3967957860805979,0.7298003883940543,2.0598457630454834,2.4473055646581408
1,0.000973917427806792,0.00060524336168723,39,0.006869399920105934,1.4068245517853895,0.3846071073930541,0.4002125268874721,0.95473566708589,2.172171289497447
1,0.0005122158681150677,0.0012406649390814344,170,0.024507900001481175,1.0650539249715367,0.39119730835371536,3.008938071041596,0.2036916136482789,2.76638223735217
1,0.0008176075990066962,0.0036266513654942697,93,0.01428880007006228,1.0211208741418767,0.3845680627494028,1.264066394107678,2.6281690732758225,2.9618016238030975
1,0.0006060234729136547,0.0007378258010879528,84,0.012544300174340606,1.1153071087441258,0.39123722918944964,1.2652954198871127,2.354668498372954,2.7652648257921353
1,0.0008650181636956264,0.0016146750472186585,118,0.017436299938708544,1.0288335361086944,0.3859468509649231,1.9293360120158018,0.5139447702946853,2.915288275157648
1,0.000921033102572651,0.0007293214550310995,75,0.011069099884480238,1.3723589405944645,0.392929896451299,1.9527081452127417,0.1963874169510098,2.308347550784068
