converged,pos_err,ori_err,n_iters,time_s,mu,kappa,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,method
0,0.2118781496079824,0.17844572657920602,325,0.07650670013390481,5.480418100707646e-18,1.922489860303584e-18,2.721994483843454,0.6850689098006431,8.395874761380983e-09,1.1189363815527997,2.0501671383284155,2.2682276330886117,QPSO2
1,0.0008103329940903111,0.00025211135599564113,34,0.004480800125747919,0.6883424862001692,0.17709257979183546,0.8418587610199264,2.0282946729844777,0.8853426237943408,2.2692923691405484,1.7768782416265045,1.1396193512767354,SVD
1,0.000982163140765836,0.0006531844970029717,49,0.007072299951687455,0.36594271463993366,0.07488663407792426,2.3796549665325277,1.184878423294547,0.7585406914009806,0.4259591602560944,0.7566455961268117,0.5413803200260406,SVD
1,0.0009995042792024392,0.00043820884758362475,370,0.08002530015073717,0.18388053029226625,0.07348353063558868,2.1440972006875225,2.76824760092879,0.9435379974729385,2.110273383596041,2.53958862007012,0.22970100832798845,SVD2
0,0.35551795958074983,0.05507147753244278,252,0.06290700007230043,4.3046085337778016e-16,1.146681647936273e-16,2.1100158771279105,0.4406013953079895,2.8685195741962484e-12,2.6853317707337605,2.4513047274219844,1.0670261340870564,QPSO2
0,0.0253860609429254,0.05337856932965906,375,0.09616059996187687,0.07371683335676825,0.01254976694555498,2.5848789160697567,3.0169113336905182,0.7727828245070961,1.610210366714886,1.4491014395366948,1.873786943498832,QPSO2
1,0.0009871138468822858,0.00012051705885978568,261,0.05096060014329851,0.2214246369647823,0.05627287995098194,1.4246923608666997,2.9000971745210116,0.9626320645916252,2.741929763061555,1.5292942399209724,0.13505381043095532,SVD2
1,0.0009535825216115748,0.000668827054716995,429,0.09823930007405579,0.42400419076209994,0.06383313856070799,2.5936720836682925,1.0521837553576328,0.8384606078675096,2.2054639933767346,0.767633356569017,0.8206486149654886,SVD2
0,0.07447806906379602,0.12563900889317764,215,0.051497999811545014,2.965930028134492e-18,2.992419581803469e-18,1.4198468970028877,1.8607199900861522,0.0,0.039164557140202394,0.5327139535829208,0.10818057037623419,QPSO2
0,0.0716122641634858,0.019765412989266394,150,0.032470800215378404,2.09521903284943e-16,5.586553191473989e-17,2.829385122960784,0.41198801520843364,0.0,0.48937499867189027,2.5223338987933674,0.9369841796266316,SVD2
