converged,pos_err,ori_err,n_iters,time_s,mu,kappa,dq_1,dq_2,dq_3,method
1,0.0003966788148659451,0.00013915317406920421,13,10.721321099903435,1.028958220686857,0.3864851723258265,0.23132106798329222,0.2433787387054056,2.898720233523129,SVD
1,0.00013620861391146696,1.3330792379400381e-05,5,0.0009434001985937357,1.323086963676799,0.39659232938953637,0.5013687408772523,2.0279535547722785,2.4317168569691114,SVD
1,0.00018832363693361214,5.230075609171461e-05,5,0.0008823999669402838,1.0336461615661894,0.38477830171884386,1.4448942092685568,1.2105722745231198,2.9541971315371005,SVD
1,0.00022054169599471,6.009691729978422e-05,6,0.0011603999882936478,1.0211521064796716,0.38538692465514734,0.8314755751400527,0.10028739242042395,2.933327300775394,SVD
1,0.0004305913523964657,0.00011764547993124236,6,0.0017187998164445162,1.080791513274469,0.3908300112052331,2.149581980424789,2.7730746962183286,2.776611665889048,SVD
1,0.0007359112536898011,0.00026726979221071553,5,0.0010477998293936253,1.0820102871119366,0.3916554864970239,1.9993069289174805,2.5334878413903827,2.7534764590424805,SVD
1,0.0001821840267297032,4.790112684688248e-05,7,0.0015863999724388123,1.0320512035474763,0.3864640155517396,0.9762503581110225,2.904469502021046,2.8993594879596447,SVD
1,0.0001218452772872176,5.426282672689048e-06,8,0.0030080999713391066,1.4251932204831441,0.3916956971812256,2.791785107868272,1.1340702862741407,2.2825806858088176,SVD
1,0.00030629874095480265,4.0266831304242244e-05,5,0.001257800031453371,1.141800112356635,0.3966975377553683,1.3687797432759226,0.2383443656081763,2.5592180458415834,SVD
1,0.00015520078188492617,3.235919431965072e-05,5,0.0008593997918069363,1.1478131073200692,0.39180668285892234,1.1349436297929412,1.506935825321442,2.749173295057366,SVD
1,9.321241191298116e-05,1.7046820268972174e-05,7,0.0011256001889705658,1.1948586712208897,0.3945091092755844,1.317812118046672,0.8736680693878256,2.6648096330093343,SVD
1,0.0002388611623403317,0.0004895281498521165,5,0.0015899001155048609,1.0475088584506416,0.3883758422085869,1.8217938411778212,2.639285132045364,2.8442366336746514,SVD
1,0.00013670740542404928,2.8706026766272632e-05,6,0.0010448999237269163,1.1402972492448986,0.39208836952506054,2.5472045287492673,1.817514238104729,2.7410857638950876,SVD
1,8.794124166069526e-05,1.2276424554731315e-05,5,0.0008733000140637159,1.3223029780313649,0.3967827223605213,0.388419465468274,1.9523447056049132,2.5517850469040315,SVD
1,0.00020259908572286842,2.0101194061264233e-05,5,0.0008396999910473824,1.3053606465302265,0.3967911581874748,0.7289562201578326,2.058744442553734,2.4468959543081787,SVD
1,0.0008081374295788357,1.8217583221620987e-05,17,0.003893699962645769,1.4059578260958558,0.38464588376142533,0.40061020542715964,0.9531247409378114,2.172675291062582,SVD
1,0.00018232360624923253,3.971707716537829e-05,8,0.002325500128790736,1.065127554347138,0.39120532870690256,3.0113108933971326,0.2045207432054088,2.76615783912645,SVD
