converged,pos_err,ori_err,n_iters,time_s,mu,kappa,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,method
1,0.0009298614055250307,0.0005635807622490653,37,0.005051999993156642,4.806203220517992e-05,2.9600462763240042e-05,1.4254658940776466,0.8202619693973081,0.013032095735016562,1.0594487580750247,0.3973299500030283,0.04885357348018626,SVD
0,0.010615346607613792,0.0044758543308147805,1000,0.19761520001338795,0.027814284423080458,0.012717336170554294,2.450010556888955,0.7920363645928097,0.2734398665562739,0.18093096388670826,2.591658360928464,0.1013330078780319,SVD2
0,0.04232757659381591,0.007283773898458567,1000,0.12027179999859072,4.879515051978746e-17,2.3834968732606525e-17,1.3916207914113699,2.2835815600143246,0.0,0.7356596573495038,0.3424638991116664,1.1769065574768678,SVD2
0,0.033008426596754424,0.004367855918410298,1000,0.10489099999540485,5.4383718535196545e-17,1.4524726884046573e-17,1.8031461564310813,0.14671738332872186,0.0,2.935130491724806,1.688770580766917,2.961015032143386,SVD2
0,0.004538543225895022,0.0008591761608879058,1000,0.10602450001169927,0.022592907140086185,0.009132483071311138,2.65253926294348,2.6914651953592497,0.23660826325768808,0.14660066177229947,1.1878342262646946,1.165475125288875,SVD2
0,0.02083469240814019,0.004024887106020649,1000,0.12350070002139546,5.305909693565661e-17,2.0426393410972807e-17,1.2520356747244858,0.9265336394515158,0.0,0.24992468719193317,2.3951237125312606,0.36003982652882804,SVD2
0,0.036477168306906796,0.006394060678982964,1000,0.11888369999360293,4.219957902075316e-17,1.5232755066038147e-17,1.321285463213119,0.8850950076153987,0.0,0.15731894691966275,0.6940037592179227,0.646078490419578,SVD2
0,0.0032829830268393235,0.0007521694824304018,1000,0.1043266000051517,0.027854329400803082,0.007216045749704056,2.5805542654004183,0.32297549099827405,0.30916179975342467,0.14607661877553246,1.16346448825734,2.2814655559906076,SVD2
0,0.004224261218759687,0.0009959770429348788,1000,0.10859089999576099,0.01585348162256081,0.004743772770015346,1.8241981961158222,0.6801216305242302,0.16809135708580775,3.102528005555702,2.039405740189917,3.0856750794996755,SVD2
0,0.017331572552678327,0.005151250548657308,1000,0.11676740000257269,8.877126848436824e-18,5.51091805523099e-18,0.7008941284182075,1.9390752060458292,0.0,0.19177189258468097,0.6712627658376094,0.6819835540006602,SVD2
