converged,pos_err,ori_err,n_iters,time_s,mu,kappa,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6
0,0.040457901682504446,0.08553492629779581,1000,0.21156969998264685,0.009387688830341733,0.002957267549732726,1.242989232258597,2.7173062551418887,0.195846001388549,0.9621010242731511,2.504901974942839,3.0843401489094897
1,0.009862312120378141,0.0073433118927442335,48,0.010796099988510832,0.02698066894535938,0.012078343212672432,2.448146723085797,0.758572965914742,0.2729031347011424,0.2136538866613651,2.5869421859030535,0.05335118824925367
1,0.001773296074701731,0.013138447066087579,104,0.024131899990607053,0.00787031927692635,0.006898349923859688,1.5690813044589422,1.2689793622941956,0.1944313480410282,1.0302669767107662,2.92178072107631,0.09366040967143219
1,0.00631667594342199,0.02731190311900705,51,0.011927200015634298,5.8221380896244386e-05,2.5876890984415863e-05,1.794886896612148,0.9595241489958282,0.008449576152796217,0.22389629689524382,1.479108046596612,0.8803281024522347
1,0.009505331372304348,0.010795169043512177,182,0.053892399999313056,0.02007974326987966,0.007737768266785094,2.8302653265046502,2.7163836400970913,0.22510434651918862,2.7539594144791373,1.289249124543943,1.0659318501732273
1,0.007064233853662452,0.02186279050765664,175,0.04102410000632517,0.0030386201733245076,0.0009807268818015629,1.3159411962987857,2.501262094439113,0.0821160267577026,2.511672151786297,0.8545005433746647,0.05966733114444489
1,0.007628981401597413,0.031493232138560194,22,0.0060603999882005155,8.285600075050931e-17,1.9633360563972642e-17,1.2873708426273511,0.02769740923266184,0.0,0.8556207249583307,1.2081399572816836,0.33388217324633906
0,0.03717435243760201,0.05487931308502815,1000,0.20819659999688156,0.15769514303301044,0.04125617238616342,3.1130114306627057,1.1412505308254914,0.47335438130591795,2.7865224967530224,0.8853218067029438,0.9254483583811464
0,0.0164321892884948,0.012034243365115794,1000,0.2191576999903191,0.06002354020366611,0.02446964168031915,1.7141708580475017,1.0715245089343242,0.27089336794622254,0.19551229287295332,1.9425972027152199,0.4711402859169489
1,0.009823523713487638,0.012326950507230865,81,0.01855109998723492,0.0046457245912082815,0.0016508442155003208,0.7688473244608311,0.8205381642082932,0.08434307793705292,2.240081523367814,1.1034248492903167,0.9876755068533778
0,0.054864714136861004,0.08865577884348232,1000,0.21894580000662245,0.09642065479827888,0.029705281607108818,3.124571082008317,2.1067850029113764,0.43181194981382115,2.738275931756274,2.4962745059280174,1.0288103263671502
0,0.05074946926592927,0.11375582530112006,1000,0.20826230000238866,0.02942453545443364,0.01510068110849459,1.0619375247277603,2.8936561212443337,0.9483915070799899,1.0300128576938192,0.13370486642571056,0.6143259700312402
1,0.005383927490572344,0.028843134473961328,56,0.01434779999544844,0.11762192917749059,0.06519058273321421,0.030202299725821558,1.6176162886777368,0.34559629054393215,1.1435802704716167,1.4025812799100503,0.5042770865937594
1,0.008529741342522686,0.05180166578784684,42,0.009277400007704273,8.075914017509098e-05,1.8929198317086475e-05,1.3728449325538241,0.023421270388468415,0.06065079250005939,2.067296879041473,1.9263619802857868,1.3271157340522781
