converged,pos_err,ori_err,n_iters,time_s,mu,kappa,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7
1,0.008622266759678504,0.03492578616084215,484,0.10317629994824529,0.3871551958866389,0.12485001799395842,2.1238622171265003,0.6183547885229101,0.4196613271809535,2.550850773188733,2.691396767056699,1.6522857452073105,2.47072172793779
1,0.009972837416238868,0.01328743396122764,263,0.06241000001318753,0.4621896290029602,0.12372462195680402,0.1637598321071856,2.58548297937919,0.7664957353771622,1.9424063078683886,1.436223410942406,2.775270391458358,0.3502130162322059
1,0.009766264572431465,0.010378973860317523,303,0.06598090007901192,0.6623360016239298,0.10764204261703808,2.5079774973310265,2.2720479436260876,0.6823366500461105,2.3068571011777403,0.5340421752958027,0.8136108939362248,2.1363395104587912
1,0.00961130881819434,0.0420856387446162,372,0.08260969980619848,1.6144124761214285,0.1497222077506046,2.440005375899867,2.229236659858782,2.8007701899556485,1.8969407953129451,0.7110498424280429,1.6082073919686213,1.4450524826103945
1,0.0032728306472488158,0.0526996298702552,416,0.0897694998420775,1.2490121409015689,0.1162760540538369,3.1210136472662584,2.062380616147246,0.7946036043111144,1.8653400766744799,0.6341424219286442,0.6283099454498413,1.0048003142562516
1,0.005583897680386468,0.021600815467524934,114,0.027321599889546633,1.8603285387486757,0.20191762101056568,0.047427017145666994,0.8602812218179818,0.15536174078522036,1.6539587773910565,0.5615504635725692,1.7943595200535014,1.6561171554818654
1,0.008333447460083071,0.011628357466203866,164,0.057979000033810735,0.48982181518007795,0.1371952827043565,0.34038378091625665,0.743539450539795,0.06558288820896463,1.4500150846864592,2.1649469909603183,2.9230239072166286,2.8318192263922857
0,0.026600828443912806,0.014083135323408666,1000,0.2187504000030458,0.8093613231883938,0.10300086662594968,1.3412427234172668,1.4127743272317366,0.834278537363045,0.8940023681451086,1.5440536783086287,2.7130434237899843,0.030022090591447892
0,0.05784621309705526,0.012858433747062359,1000,0.20725039998069406,0.13394324447241907,0.028315289693819162,0.9158138869761316,2.198672221452483,1.0900277722042233,0.38384933163333157,0.98849777529432,2.9666730059544877,2.1448043902560405
0,0.13944998995633962,0.08561471538006103,1000,0.20875909994356334,0.4631144186817239,0.12124284600877351,0.8183052209343886,0.20460347326909908,0.6303991095698613,1.0406147050337466,0.9591263527478544,2.6969258894581003,1.8494927071072311
1,0.005531548081092029,0.06441089167972285,51,0.012444900115951896,1.8066850975381483,0.13042810853696357,1.7051978995665058,2.118114645064697,1.308345781072049,1.1430597941297496,1.1043559443869917,1.8389398166446806,1.5459446932699636
1,0.006113115042299943,0.01786644673154141,268,0.06104319985024631,1.3851118982732502,0.18165938221220215,1.1006517654851375,2.1392772546309766,2.658474837556378,1.826087868213519,0.344548593660702,1.4792388111103278,2.27534374620371
1,0.007842430404333512,0.03315717244771816,92,0.019727899925783277,0.6063059803200478,0.14933079347932718,1.3313120982757374,1.4715919006615878,0.5408610962397096,2.447656533456531,1.8440111098332261,1.5152672126580151,0.6352012751282929
1,0.009000683874693391,0.01943383939559213,122,0.027747199870646,0.8378717185415612,0.1893473887798792,1.7905992090545473,0.35233904908218827,0.24507710082001521,1.6963255964796191,1.1035795468699154,2.58650032402816,1.1719212864783515
0,0.027246960172219795,0.07205207418242886,1000,0.2070716000162065,1.6202162021071007,0.14895230571895032,0.04913982413221607,0.7318676713228421,0.992807001150628,1.583368917315772,0.44881246231485866,1.5769808322189078,1.4482658225685583
1,0.007803254333297259,0.03810492704261553,124,0.028197200037539005,1.8491625832919956,0.1487770663535606,0.9234106750909707,1.953475592077784,0.09317051826755662,1.4099712380311444,0.5459139800771196,1.5484782686525642,2.4483277180829206
1,0.009263789887975073,0.049212871989768,324,0.07073330017738044,0.8268364852792854,0.15262621785950542,1.3781075146879678,1.3393194568385847,2.763768495383335,2.3164313356557393,0.6883019407062907,0.9387271601452083,0.6137539169405266
1,0.007153146058124266,0.017702648084534794,60,0.0131182000041008,0.8421199358109769,0.13651138132693738,0.6863037769239106,1.521073963884226,0.08806795100841924,0.6825999408829584,0.13905697617603519,2.529899486101077,0.5452328059312173
1,0.009536175487240058,0.015259250381682906,191,0.04222399997524917,0.7490718114340652,0.09768907360765369,0.36960657904099214,0.7824130827315336,0.2511291025965985,2.199180344756409,0.5390525314699159,0.47056318010120535,0.8809148819734025
0,0.01131411534678945,0.02132869271881889,1000,0.2136107999831438,0.29577289998320433,0.0823411813077139,0.8308956058005807,0.8078034330075945,1.7707932061379434,2.602734351604325,0.22165303222145205,1.3787782442435783,3.0754513015390916
1,0.009921216101599089,0.01990914167958037,33,0.007263500010594726,0.6842245643751033,0.1879744953798231,0.09849364018907636,0.8796023790444778,2.3869031704009025,1.7340117539698792,1.1187592780218978,2.579475140802053,0.20912653565515704
1,0.002015082684571922,0.005908331312780784,258,0.056153800105676055,0.9470185246462027,0.3193348646635749,1.5377493182560198,1.2085755096971331,2.260343509925752,2.071600904146109,3.0312026106025476,2.807803745810605,0.09017278361815517
