converged,pos_err,ori_err,n_iters,time_s,mu,kappa,dq_1,dq_2,dq_3
1,0.007016465309423864,0.00786481110493442,30,0.009864999912679195,1.0275759194021152,0.38630004560889636,0.2213390007829279,0.2255981484026037,2.9043448976154647
1,0.005678410801107911,0.005002408379205496,12,0.00179460016079247,1.3212835975468655,0.3966396217610458,0.510244865972413,2.0265640358862558,2.4349826298650115
1,0.0071663424768783355,0.002231473358360247,36,0.005100499838590622,1.0313038158652386,0.38458822442285523,1.4466120159484328,1.221459110156676,2.961062058051593
1,0.00989808993697482,0.016061733953765405,17,0.0027729999274015427,1.0198780777082719,0.38518727006539366,0.8247652647456194,0.062311440858865634,2.9400078934985103
1,0.00868538788940574,0.008051898782420313,39,0.005825799889862537,1.07908823860816,0.39060770639918596,2.1604305150636853,2.755337165033147,2.7827652869944757
1,0.009052243495598944,0.008753640021702121,16,0.003100800095126033,1.0845169979523785,0.3919429806393838,1.9966916415572058,2.542272973757352,2.7452721570542113
1,0.004846974458200911,0.021079207239462952,18,0.0029648998752236366,1.0313401208454118,0.38640228664506227,0.9361334031133648,2.915657477661103,2.9012297759008705
1,0.009984209547053232,0.0008778847636693492,25,0.004757900023832917,1.4352040691203978,0.3911938879497952,2.7905132355963804,1.1449030322540994,2.2729697060493304
1,0.009026966826435747,0.0075762479936165375,14,0.002313799923285842,1.1420467483944283,0.3967128579258193,1.3678493501577602,0.2548216601432083,2.557944595823013
1,0.006277126698807746,0.0069280568029185755,19,0.0028295000083744526,1.145609532829787,0.3917049966972407,1.1215528515607112,1.5133195609828152,2.7520700530344753
1,0.00877619314669352,0.010147718523415528,16,0.002696799812838435,1.1964061497630958,0.3945629711513107,1.2975765270518709,0.873269514083832,2.6628848169202124
1,0.004731959687544753,0.009001288636979137,21,0.003142699832096696,1.0476058734401474,0.38833489792554204,1.8315727949890723,2.624891940444847,2.845377590646579
1,0.009601341427710358,0.011003792257527642,13,0.0024598001036792994,1.1371314811763777,0.3919991672558199,2.55125670533579,1.8416604729294432,2.7436574749954765
1,0.008379008571137672,0.0021804316207523814,23,0.004025100031867623,1.3308418952389152,0.39686692525766903,0.3846333274070206,1.958648997262575,2.5433395744998286
1,0.007503599766577322,0.004025711026668814,14,0.0028899998869746923,1.300319639595509,0.3968293342693902,0.7274634182553426,2.0701032968411877,2.4503838561024374
1,0.009239449000780194,0.005452819399529401,12,0.0036360002122819424,1.4117458933358313,0.3838480803167617,0.4099284469027733,0.9576481480211765,2.1624496348565954
1,0.0032777184901770914,0.015515105149137036,14,0.0036462999414652586,1.0652298929488966,0.3912185181359167,3.0410660144407227,0.19611730001879923,2.765788711898562
1,0.004644743915226512,0.01176084420790189,14,0.00283290003426373,1.0221021862843866,0.3846394755923284,1.2549835656934498,2.6059940944392075,2.959192206817204
1,0.009429489382520417,0.0068126996628756365,17,0.003674800042062998,1.1201894304756141,0.3915306845703771,1.2506123989703148,2.359536608222121,2.7570106488588313
1,0.008885027493176443,0.013979854949576626,67,0.009487299947068095,1.0264763547102367,0.3856956423553735,1.9468496229227839,0.48626486294842897,2.9232655649572576
1,0.007694090619463557,0.007681303007238588,12,0.002028099959716201,1.373326244578661,0.39280765738919554,1.9692135088093208,0.19223136755969694,2.3056358705350073
1,0.009279919654608487,0.011937934225837405,15,0.002476500114426017,1.1274869692679461,0.3913226617703505,1.4732086074237083,1.7996854573641945,2.76286933075316
1,0.00937903894879503,0.006758623066578814,29,0.004395900061354041,1.3381520186622347,0.3970366047488991,2.657924231940168,1.596546381535406,2.5179128219042455
1,0.008591378726559396,0.011047084621224654,33,0.005070299841463566,1.2041170505774308,0.3970757706171756,1.6520919189508074,3.060851813366721,2.493724410494533
1,0.009791168114745709,0.009177661427915542,12,0.0019639001693576574,1.276690872006126,0.39706068714501375,1.5226602197405326,1.9968302670851417,2.510837176628693
1,0.006372931056006591,0.003913160229130258,17,0.0026352000422775745,1.1176632988216977,0.39526821317570987,1.4640263046812505,0.47184538598168313,2.6359854578624784
1,0.0038664540524451277,0.002263664745671931,25,0.003420799970626831,1.6113647363254264,0.3913919980138666,1.9304754168474503,2.2954408125559205,2.276712939546486
1,0.008276855129982571,0.006486278961604742,15,0.002870999975129962,1.2599496256020566,0.39659050455375344,1.030370352913577,0.7092239794407504,2.5675135771736173
1,0.009876290456924609,0.0012108269560294682,31,0.004599499981850386,1.2939930050360942,0.39252298515691564,0.3911720358256239,3.0637778340679542,2.299469608627416
1,0.003974464457448609,0.0028208156590790955,13,0.002112200018018484,1.243330845348973,0.39608621364157554,0.9931683366552333,0.009489091456738041,2.403828580504968
1,0.008934811924822478,0.012658361826623237,51,0.0071495999582111835,1.2309152315165839,0.3970759334430392,1.7465422398552777,2.884650064257521,2.5022912623198934
1,0.006321609915839536,0.015109680958546716,17,0.0026853999588638544,1.0449289744429828,0.3856741303116886,1.2704404337342166,1.7551479873707165,2.923957017619431
1,0.008056604528535394,0.0030315008162451642,13,0.0021789001766592264,1.4083013797952828,0.3968454204869541,1.318273447217667,1.546244175878785,2.4519353071780583
1,0.007396583074263562,0.012341137576270584,14,0.0025286998134106398,1.0892522974981396,0.3885616501787031,0.7623076556859925,1.5287425190992847,2.839071929628165
1,0.00979481870580201,0.05670053806859839,10,0.0018738999497145414,1.0419009674548085,0.38790892006036304,1.9330141351672712,2.7132489005386162,2.8573210754144234
