converged,pos_err,ori_err,n_iters,time_s,mu,kappa,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7
1,0.009880847982259989,0.02454828268953945,135,0.023915299912914634,0.38768630773047014,0.12160745934152374,1.6964842947726968,0.5882871984510087,0.12155202264569143,2.571332745757402,0.30432829973727493,1.5200275700123953,2.176525033372336
0,0.09915878291502651,0.08937193485843838,1000,0.17554299999028444,0.6443372207999947,0.1817176104197401,2.1123065205138722,2.6446333909589064,3.0114756315955233,1.8785174680954653,0.2566202500190098,3.015619816683026,0.8546274563040606
1,0.009802801232682293,0.02713238269433069,148,0.027169999899342656,0.8691953634505772,0.12996287816185587,0.35446995595611464,2.16221101141765,2.4258635011639273,2.221168633036204,0.15592289253767833,0.8154455639261711,1.7611628695710877
0,0.12867411645979313,0.21742608907807026,1000,0.17699980014003813,2.0009347579822316,0.09820509112321177,0.681319979285683,1.4642796347631182,1.1529921578099707,0.9390296582686801,3.090271539113811,2.0616646049297875,0.9244243394151885
0,0.10964007443996232,0.25519379134240144,1000,0.17969140014611185,0.8143409089299679,0.06490408437359202,1.1136836415038358,2.7939878305955084,1.3034583036808411,1.0249776250931255,1.4916577894245524,1.8903451311858805,3.0849256244306513
1,0.009219496329601083,0.01669574956908565,116,0.022000900004059076,1.3690430380284888,0.2425102271991294,0.7974517842905112,1.1375266391455492,2.2184116739276534,1.6570312890629326,0.9715715094106798,2.268118423088799,1.999181725034215
0,0.26153582323477637,0.14812022113832538,1000,0.18003879999741912,0.23032750147747527,0.0845459723579634,0.21145231229064887,0.4626660236982248,3.0600264197788185,0.5664117567982219,0.6618442044857664,2.927417871747772,1.8592014049789949
1,0.009877780308616111,0.01699265358441114,639,0.11830249987542629,1.1448453318573744,0.12048715926371496,2.646075356200173,1.223386327173329,1.2586696966682132,0.8722197817022916,2.1396093065050144,2.3760255483718993,1.5821980455019018
0,0.06998109332257466,0.05201438846785603,1000,0.1859959999565035,0.13952172505226346,0.030602483177669212,0.6031919011096836,2.1212358617181977,1.566087519483815,0.35601592093112444,2.2492570305069504,2.9471580034387364,2.2078786378617554
1,0.007521089698382424,0.001910086354942083,458,0.08627859991975129,0.477086092888356,0.13582495727877875,1.2374875779780652,0.06875895815506583,0.7962454388767402,1.3754287445686746,2.3330440937275387,2.6528179734308184,0.8486142891667035
1,0.0093316378261744,0.004920118251622583,797,0.14770019985735416,1.3830466164283872,0.12633128380027442,0.5949280826325061,1.9552501714724688,1.5934968613554206,0.9263717120341832,0.950721494901023,2.4661050492602126,0.5704274093936017
1,0.008205242651105614,0.005355214371970758,242,0.04639169992879033,0.5178076757893938,0.14511474389195292,0.44986769560733103,2.1726511781686444,0.46452592011219984,1.8352702235443488,2.0385412856545706,2.8227057942706684,1.300041988253938
0,0.1327582494087553,0.1973752545702773,1000,0.1859556999988854,0.22008517901244457,0.08510107033884856,1.210018365259094,1.9334172808712937,0.7070659422231005,2.7371703316517384,1.852880530746595,1.3813362340416528,0.6617151555764704
1,0.009307422600012574,0.07801180256997943,65,0.012270000064745545,1.7454594409876385,0.22561250184890533,1.2454829555455733,1.9255517251980407,2.745487772303082,1.6760431692555064,0.7779313277871593,1.9535691975856215,0.546541231877447
0,0.02431154413552088,0.007943456615001933,1000,0.18533360003493726,0.9778087474928712,0.15551717256714262,1.905535323133705,1.7316072104785953,0.9651058297731252,1.3363747618390676,0.9534657225511286,2.9569440891123526,2.8878378289971467
0,0.06823506333764492,0.12317922384851408,1000,0.17507760017178953,0.4540204300192163,0.12444662194628248,2.3381882146162303,3.1382759883952938,0.3356186478694698,0.9378942083720312,1.0890995555973095,2.5891336118205777,0.24265172134641586
