converged,pos_err,ori_err,n_iters,time_s,mu,kappa,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7
0,0.2181883901718588,0.055392041503469165,1000,0.18635440000798553,0.018100788787852675,0.005710554792289795,0.6516178901745526,3.106681795821613,1.3310740180776692,0.9240929094344175,1.5513641436882477,0.07178720827772889,1.1872048584207409
1,0.009757604020458268,0.02162556951007896,49,0.010466999985510483,0.14208223710173662,0.006365711483782913,0.9128532796147216,0.7110076017668052,1.1488503268172598,0.07773609075275488,0.13663550903775556,1.3648866577950192,2.439113856531554
0,0.09880334332036882,0.1982921851296646,1000,0.19142650000867434,0.011730864750414165,0.0017117956090728628,1.9886885674862276,2.926996182941753,0.1143403862316763,0.020770288910332724,0.9915422019425524,1.1537549057881265,1.371441863056063
0,0.10317311364987303,0.08528839725353725,1000,0.18621290000737645,0.0007167840962611522,0.004994121414112821,1.0452260287582362,2.271164098278977,0.2946695157331933,3.102922174449273,2.0094406719573814,3.0338374002360684,3.0455427226648535
1,0.00984067721450683,0.012990183959326598,42,0.008307200012495741,3.8716767176376645e-05,0.0010393779522787935,1.3989123859469246,0.6976366451378566,0.9597427526697083,3.1352219710958993,1.8159316304591118,2.1037849568128912,0.016328521834478412
0,0.07726264790584,0.04783797437019343,1000,0.191698999988148,0.4271380219915269,0.07264519338042738,1.5345001372628937,1.0449940506369364,1.0377603946914657,0.6485654417889641,1.6009547113830918,2.8505438319111764,0.21995798987598777
0,0.027838969068093456,0.035766466571619075,1000,0.19090940000023693,0.035707277925972364,0.018625995475111668,1.296985002527894,2.8289546039976816,0.9122671638038415,0.1574185062356497,0.13897160263883146,2.9103095274095847,1.6656027322810107
0,0.04332543049845343,0.060606897653315187,1000,0.19351630000164732,0.002054988490628341,0.005935108572602453,2.3267518360848545,0.3997621280259138,0.2977319723380587,3.05298409020914,1.5450966851786392,2.946235810149772,2.374810297620435
0,0.023978299141079847,0.0333502094574459,1000,0.19121180000365712,0.6613431978304294,0.09134028898101666,0.29941523932648906,2.6379703257461813,0.4479709106189462,0.7698193469269903,2.6645535292155733,2.4261494097239034,1.7427791392658971
0,0.06871616066899691,0.15465028049202795,1000,0.18490610001026653,0.40511239901978474,0.07345222175746184,1.6841279856184528,2.7845024984995383,2.346379917490684,0.7920224360966023,2.4597220190550795,2.8154548778735577,1.2713525920264686
