converged,pos_err,ori_err,n_iters,time_s,mu,kappa,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6
1,0.00813236163200614,0.0158311328950619,19,0.003623099997639656,0.0012460686889963581,0.001184501307596718,1.5037903610283525,1.0421471616596625,0.08455416942184962,0.9343776929064513,0.20323992188656925,0.2437211709009159
1,0.009208307014176577,0.018375503719455795,76,0.01534449984319508,0.0024190668468894237,0.0007973957183596297,2.5996290050768867,0.05787008126210536,0.2278493592394599,2.4183369295020984,2.204838997825491,2.3191572650344146
0,0.020105254439284053,0.02928767641379628,1000,0.18495979998260736,0.004521950559327242,0.0033404096044571487,1.5655143857457587,0.9191315898413941,0.1904612113006399,0.8171791035245128,2.984158107476045,1.9443361966766055
1,0.007447408856672164,0.02776643299115497,137,0.02685989998281002,0.007594530361823494,0.007680603595942029,1.8926466721931892,1.3593356931011105,0.08989061728983977,0.20320500603504943,1.2916534217825362,1.2639193516642244
1,0.00988668674221679,0.005407701916614535,108,0.020761500112712383,0.04448649507137292,0.01948776739972453,2.592666517864866,2.484608062449671,0.2761301289180328,0.2687670816340746,1.2707488053754954,0.9568845028044954
1,0.00810513670678325,0.02062038165429074,22,0.0050524000544101,5.826937673889089e-17,1.5417373083037972e-17,1.2346367189423268,0.3503092367521976,0.0,2.488168624179502,2.1398725598896746,2.822387837523343
1,0.009855529063302355,0.02572221261955747,19,0.004263600101694465,4.34278442493838e-06,1.0184523769739122e-06,1.2939573083429634,0.12513042297062915,0.00602811598063184,0.8688794662576154,1.278491473457234,0.4184740496947388
0,0.023903011583096555,0.03304931368550102,1000,0.17917330004274845,0.11860576612911727,0.032992612563197306,2.34983862014297,0.958287792334473,0.40189793585192685,0.3067807181126545,1.1139545985459174,1.539395180341482
0,0.03292727312835309,0.06657158359062562,1000,0.1811941999476403,0.0021344196101157624,0.0012346203291325503,2.0394309266438597,1.9800882201462526,0.05357761679406842,3.1071710445938967,0.945004962216057,0.5240832828011506
1,0.009252489302057609,0.012388323990086884,86,0.01770660001784563,0.04467179907426736,0.034866136594829567,0.4862633132721701,1.463731612281012,0.24431676331324487,0.15115489288122586,2.2894419737551437,2.070475289839127
0,0.08219610770666753,0.058368825887835415,1000,0.1898149000480771,0.12330584718501655,0.044565714779635966,3.0734219652524963,1.9186084664018646,0.44554933633494076,2.9692488243527286,2.41983332303076,0.7518588907949582
0,0.01629071452456818,0.036386446032216496,1000,0.1853391001932323,0.22341719246895872,0.05380211662806812,1.1401862548914075,2.692233209066103,1.0,1.6378780204608834,0.5402210382067709,3.0782276273439795
1,0.009759901151390579,0.009607858514753856,32,0.006648800102993846,0.0002883994906406561,0.00016049069869833937,0.33678335790982095,0.9268164019789684,0.023530872439022875,2.0118172432437937,2.43228956286268,0.6179066841616017
1,0.008425603899131672,0.018569733669511677,36,0.008929100120440125,0.002687079137766399,0.007907873173107332,1.3285607443717478,1.5710694438256896,0.06979281588872169,0.5036872326047974,2.557258460794791,2.4825260196234358
1,0.009371613946006815,0.03755433677487447,490,0.0907415000256151,0.0012412985441448807,0.0003660967604340976,0.38193611786092774,2.4210776541169343,0.336741593709556,0.045352219987799376,0.016592389053534887,0.6706340823113619
0,0.04366007968738128,0.054083998813040636,1000,0.1909473999403417,0.17773624205424735,0.07078297340897896,1.6031877249940658,1.3538643933014114,0.5661675979512418,3.1263617208203143,2.5377768283013875,2.5613967970643863
0,0.01572507492492813,0.0141670047302233,1000,0.18208810011856258,0.0029541075820818472,0.003374459799457733,0.2951853379989515,2.654979740632095,0.1713633745172399,1.380873818169885,2.9247765194690665,2.0696062334896226
1,0.008891280991192584,0.02610848657597366,256,0.04902900010347366,0.09032890563024881,0.034160544222120046,0.6732103489168818,1.306717424967259,0.3303507234534589,0.9880860996594798,1.0302554759466114,1.761261564854986
0,0.0605396999532056,0.08229715826928083,1000,0.1793947999831289,0.32975775692397696,0.11382711800512911,0.6692231156291979,2.190392842039854,0.6415433400310204,2.8610823158682805,1.7491140331344335,0.30131099492904845
1,0.00986969832761064,0.0026618643139343107,50,0.00908079999499023,0.030583768542153507,0.008527009726090422,1.0076524924883423,0.6415610264042382,0.23398094240796802,1.5507436064744493,1.937598862657501,2.853952794680481
0,0.016252619250897465,0.023611739201337984,1000,0.18282560002990067,0.0770546152799615,0.038639152604134946,2.9652253308000627,2.1962580799166975,0.36138798902218056,1.2070372467666477,2.3265261326566513,0.9823261837843577
0,0.028065070811288256,0.06363736980188514,1000,0.19941919995471835,0.12890160957406388,0.06413184318692827,1.2779453682232802,1.5764520531826518,0.5755156984160272,0.011370862866265874,2.7418509965255464,3.062041057269722
1,0.0080209168113713,0.013505636131993145,241,0.07574040000326931,0.056735363601620875,0.039581755660690485,2.276135584063965,1.7590137484588952,0.26391061051277204,1.0882456286340023,2.1638517641299475,2.022380020981506
1,0.008687992135240779,0.023488533579178367,562,0.10056769987568259,0.0013404069034437507,0.0003567179239589518,0.3263729870279115,3.1273333760581163,0.8977425214343746,0.6694060726806725,0.11690685474034578,1.3108103839838368
1,0.005304353119952261,0.011193936920092273,21,0.003975400002673268,0.0010623487352750419,0.00034182014775071645,2.692356420226284,2.401746225099293,0.04441846758395304,0.5638862448659703,2.216510008317934,1.4399328728589504
0,0.028772794753519338,0.0067442174004049334,1000,0.18119580019265413,3.523607580183209e-17,1.2111313187555755e-17,2.657784185238487,0.7515204469658179,0.0,0.9419113784494955,0.8603318335329053,1.6182246318178395
0,0.14523513364932233,0.24610658639076205,1000,0.1805867999792099,1.1068898177532523e-17,5.386308496217626e-18,1.3964137908816563,0.8110004219881257,0.0,2.586030231787784,1.8152225307566845,1.502730506221262
1,0.00943509624772598,0.025105391174240498,30,0.007618199801072478,0.001778124071575086,0.0006085645367697477,2.121039112037456,0.14400688435265474,0.19838358371457257,2.2877417342693445,0.32027245349023387,0.08562652597128428
1,0.0018039263751564606,0.03934726318208168,39,0.007304700091481209,0.08956977918912466,0.04069322199825815,2.5825337214138777,1.4335785383001232,0.3025545865736684,2.4241751590485316,1.4142350382921833,0.25184698041600573
0,0.0243663864181454,0.05371113766157179,1000,0.17907209997065365,0.03766944791110773,0.02202188841419276,1.2467142021461035,1.8755941514217174,0.3774422142422421,2.9186633948617366,2.860721444219383,1.4478966671114202
1,0.005247537546238188,0.019060119219284685,154,0.030689399922266603,0.12508938396779645,0.03994621531140052,0.8443148651061417,1.0282259712450106,0.39165578371352705,1.6107112053368016,1.881129985545365,0.1322371435575933
1,0.006326597047221809,0.03443737512182483,34,0.006347199901938438,3.001441955285838e-05,1.2964164080752208e-05,2.7796497845087496,0.023413581003349115,0.03583758706521026,0.07358113324507354,1.5110446363020476,1.0905623387874313
0,0.016765057275152265,0.011355733118003263,1000,0.17774180020205677,2.908604224904855e-17,3.9658785111375305e-17,2.163045035423912,1.312897240851227,0.0,0.49846947131870367,1.7252692416017066,1.5846681854231894
1,0.008642736818284934,0.04088490801245496,33,0.007343099918216467,0.03094654764558123,0.008476738735230952,1.6716883200950177,0.19562671983780344,0.4013775425933961,0.8002316441745005,1.4171207476244572,1.8124388071505466
0,0.018000522925665504,0.012969693863613865,1000,0.18338360008783638,0.09090301933842253,0.0371463183004592,0.5318600560621416,0.5915032846062731,0.4148245397000707,2.6675973375671598,1.8966770105791289,0.09363361829686445
0,0.025925746186570068,0.03851006276389789,1000,0.17996219987981021,7.165280476092186e-17,2.2767315140817013e-17,2.6045914215008104,2.3297438387741103,0.0,1.559083048115517,1.6481562725339927,2.441479492318603
0,0.03589336866895081,0.06497776622570052,1000,0.17460889997892082,0.002701749586024695,0.0011884324791105062,3.101359003971261,0.9936191234799634,0.10669641672173999,0.3528998910080814,0.2871324056914286,0.15362846269750463
1,0.006328882921287411,0.01598728981564373,26,0.005301100201904774,0.0018353246065436553,0.0007608870673632795,0.9344389664557982,0.34885898057231746,0.109572023172559,1.9225163177688964,0.4636404284444202,1.626243729841315
0,0.017137743962859574,0.0158304076648142,1000,0.1822375999763608,0.01690606794028128,0.019203068203844886,2.1853504540792565,1.0542833747010834,0.2558006070338352,2.0479720304663704,2.839907065279294,0.3650856599792194
0,0.028782290151805705,0.033654070305415715,1000,0.1756939000915736,0.003158956237406326,0.004960100430481577,1.885225123480881,0.9613613319901972,0.27626492848740497,1.0472130201662306,3.0910942200056013,0.19254144567025208
0,0.06299354900378744,0.12589163161221212,1000,0.18026749999262393,1.0239556372685068e-17,3.651427350118146e-17,2.893675759713126,1.6345790458316092,0.0,2.9189646716691735,0.8788194807146558,1.2978609007245183
1,0.008498565679321531,0.019475183254413903,44,0.00947309983894229,0.049234091415892904,0.014221143737891163,1.1971864022074277,2.6066329942955972,0.33206437468540345,1.2632569175319557,2.074455139645857,1.3887881534143074
1,0.009967595591299575,0.0034036332018049873,181,0.036573799792677164,5.718885322569042e-15,3.311583710446779e-15,1.2597919450811714,2.8473325481123344,3.458487302947375e-07,1.1730006974969287,0.1632619411742926,1.9212714923597334
0,0.03201882125985302,0.055403853043683206,1000,0.18224709993228316,0.20555273603915297,0.09075692157193826,0.8406103352548082,1.1803362370040789,0.6091407123768574,1.721103433159746,2.4992645791680745,3.131359768923282
1,0.009740150527348371,0.03797109363462588,80,0.016577100148424506,0.1533892994462833,0.050089479940499435,0.948621732591282,1.1414827601426252,0.46426744248542745,1.6037559408838309,0.8989317591891246,1.885489883001593
1,0.008720280324124483,0.013551249307279016,67,0.012683199951425195,0.005070890707998486,0.0013364864105330405,1.641563007454613,0.17798107140369046,0.1701877367921329,0.14854898414011064,1.71997965806205,1.7923728850484708
1,0.00955102119410222,0.013107229742675275,26,0.00576159986667335,0.06282623322362853,0.02275844528383506,2.0425243588377775,0.8253364472220421,0.3166087801429578,1.0403130565799952,2.1199194770164986,2.6805530518464193
0,0.011355576283502521,0.004152146501653871,1000,0.18172540003433824,0.0576746044252054,0.024315965132458085,2.3405606772243885,0.5029224651655699,0.34596581442922275,0.11773286892512891,1.5941211595465017,1.50897451917396
0,0.05488156469040536,0.05426589088208569,1000,0.17986100004054606,3.887891598242359e-17,3.613290873941306e-17,0.3595567007506144,1.9928964289060362,0.0,2.8187682312406306,1.540398503923289,1.9134734234840298
1,0.009881613350699493,0.016892050982740985,53,0.010114700067788363,8.947863112903874e-19,2.393703200989726e-19,2.277899423378096,2.6130077210474223,0.0,1.7970415299850682,1.2768468664392518,1.0365134287387865
0,0.01764868567687812,0.04130034274630377,1000,0.18554629990831017,0.0012989933906856356,0.0008287889504355484,1.6176093215613947,2.3060443217545297,0.08142517771008517,1.0865307233295596,2.8742503085850672,1.6849378403943165
1,0.009521634179014294,0.01944497524517893,100,0.02002960001118481,0.06897607009266993,0.04130727090462921,0.2146839518878858,1.6350181023794672,0.27868818845683613,2.208034740618319,2.0443933420167717,1.3214593505963226
1,0.009146293896676221,0.0835625944896532,161,0.031322999857366085,0.013863750898359338,0.0032300147704709204,2.2063380216143114,0.3943283320598798,0.4812084058872059,2.6118170231530593,0.15647467151593064,3.020534370609017
0,0.05815553779875608,0.02741907112937191,1000,0.17621649987995625,2.3567247698514643e-17,8.777979523565265e-18,1.5153854048539637,0.7460906142179335,0.0,1.243297624747501,1.007750222369511,1.5396770467449652
1,0.009952509339244768,0.030179595951754228,391,0.07695939997211099,0.003969892215469655,0.0012643256573967997,2.725014738657947,2.3294714473562017,0.1568364859341683,0.10573723798316248,0.22425642609070187,1.5177005761706286
0,0.043216198303099994,0.014690827687576083,1000,0.1858774998690933,1.6599652155608547e-17,1.996105140764167e-17,2.784644852564627,1.340174328015996,0.0,2.2150340710598746,1.68264155733607,1.122313762069374
0,0.025045110353925065,0.020671723067827698,1000,0.18900890019722283,0.005781137870095159,0.005974845307386309,0.32389227783414665,0.6679557903553013,0.29720952598491523,1.1378134250776064,3.0357305555383247,2.7914114799015453
1,0.009369706813757213,0.02297197280558717,680,0.132743300171569,0.007121580682868313,0.004084016944156247,2.6755853278025024,1.9996886414578998,0.2688984123192073,2.242188140045489,3.033078907631081,1.173023446830124
1,0.00995307257728105,0.0029278897709099938,71,0.015301299979910254,0.0018435380536690985,0.0018259155502871455,1.307819154935262,2.713949394573752,0.16658927283777128,1.4811011027490932,0.16086813659128785,1.0432036161692197
